FOODID	FOODNAME
836	RAPU
837	SILLI, MAUSTE/SUOLASILLI, KESKIARVO
838	SILAKKA, MAUSTE/SUOLASILAKKA, KESKIARVO
844	LAHNA, SAVUSTETTU
845	SÄRKI
846	PUNA-AHVEN, PUNASIMPPU, PAKASTE
848	KIRJOLOHIFILEE, MERI
851	KANANMUNAN KELTUAINEN, 34 % KANANMUNAN MASSASTA
852	KANANMUNAN VALKUAINEN, 66 % KANANMUNAN MASSASTA
855	VIIRIÄISEN MUNA
856	KALA, SAVUSTETTU, KESKIARVO, VÄHÄRASVAINEN
857	KALA, SAVUSTETTU, KESKIARVO, RASVAINEN
858	KANANMUNA, KUORETON
859	SILLI, VALKOSIPULI-/SINAPPIKASTIKKEESSA
860	SILAKKA, TILLI-/SINAPPIKASTIKKEESSA
862	TONNIKALA
863	OSTERI
864	ETANA
865	MUSTEKALA
866	HUMMERI
870	KIRJOLOHIFILEE, TUORESUOLATTU
871	LOHIFILEE
900	KAHVI, KAHVIJUOMA, KESKIARVO
901	TEE
902	OLUT, KESKIOLUT, 4,5 TIL% ALKOHOLIA
903	OLUT, A-OLUT, 5-5,5 TIL% ALKOHOLIA
904	VIINI, KESKIARVO, 8-15 TIL% ALKOHOLIA
905	VÄKEVÄ VIINI, MAKEA, KATKERO, SHERRY, VERMUTTI, MADEIRA, HEDELMÄVIINI
906	VIINA, KIRKAS, VODKA, GINI
907	KONJAKKI/ROMMI/VISKI, 40 TIL% ALKOHOLIA
908	LIKÖÖRI, 20-30 TIL% ALKOHOLIA
909	GIN LONG DRINK, 5,5 TIL%
910	VIRVOITUSJUOMA
911	SIIDERI, MAKEA, <3 TIL% ALKOHOLIA
912	SIMA
913	OLUT, I-OLUT, <2,8 TIL% ALKOHOLIA
914	KALJA, KOTIOLUT
915	KIVENNÄISVESI, MINERAALIVESI
917	TEE, SITRUUNATEEJUOMAJAUHE, VALMISTAMATON, SOKERILLA MAKEUTETTU PIKATEE
920	VIRVOITUSJUOMA, SOKERITON, LIGHT
